Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-03-10,0.0142106951,0.0321442983,0.0319320347,21,100
Market-Adjusted Model,10028,2023-03-10,-0.078873233,-0.055273954,-0.061151893,21,100
Market-Adjusted Model,10032,2023-03-10,-0.028459922,-0.009641305,-0.010738582,21,100
Market-Adjusted Model,10044,2023-03-10,0.0300000195,0.0478140385,0.0477213592,21,100
Market-Adjusted Model,10065,2023-03-10,-0.022771596,-0.004996953,-0.005050257,21,100
Market-Adjusted Model,10066,2023-03-10,-0.04705878,-0.027404281,-0.02933744,21,100
Market-Adjusted Model,10104,2023-03-10,-0.00643486,0.0120773534,0.0112864801,21,100
Market-Adjusted Model,10107,2023-03-10,0.1012678216,0.1160311768,0.1189891612,21,100
Market-Adjusted Model,10113,2023-03-10,-0.059942658,-0.042794092,-0.042221319,21,100
Market-Adjusted Model,10138,2023-03-10,-0.015575561,0.004606288,0.0021457789,21,100
Market-Adjusted Model,10145,2023-03-10,-0.03517588,-0.017651278,-0.017454541,21,100
Market-Adjusted Model,10158,2023-03-10,-0.168736896,-0.14598296,-0.151015557,21,100
Market-Adjusted Model,10200,2023-03-10,-0.127226187,-0.111090686,-0.109504847,21,100
Market-Adjusted Model,10207,2023-03-10,-0.077265237,-0.061360251,-0.059543897,21,100
Market-Adjusted Model,10220,2023-03-10,0.0361110898,0.0547890673,0.0538324294,21,100
Market-Adjusted Model,10252,2023-03-10,-0.149266692,-0.134369607,-0.131545352,21,100
Market-Adjusted Model,10253,2023-03-10,-0.130812701,-0.10127598,-0.113091361,21,100
Market-Adjusted Model,10257,2023-03-10,-0.072392659,-0.045394049,-0.054671319,21,100
Market-Adjusted Model,10258,2023-03-10,-0.119036108,-0.093547089,-0.101314768,21,100
Market-Adjusted Model,10294,2023-03-10,-0.166817946,-0.162085728,-0.149096607,21,100
Market-Adjusted Model,10308,2023-03-10,-0.107185375,-0.087766553,-0.089464036,21,100
Market-Adjusted Model,10318,2023-03-10,-0.077414994,-0.060889385,-0.059693654,21,100
Market-Adjusted Model,10333,2023-03-10,0.0366666891,0.0644275432,0.0543880288,21,100
Market-Adjusted Model,10355,2023-03-10,-0.129710896,-0.118047037,-0.111989556,21,100
Market-Adjusted Model,10382,2023-03-10,-0.151189401,-0.138030024,-0.133468062,21,100
Market-Adjusted Model,10397,2023-03-10,-0.097934897,-0.084416552,-0.080213557,21,100
Market-Adjusted Model,10421,2023-03-10,-0.062344146,-0.037148121,-0.044622806,21,100
Market-Adjusted Model,10443,2023-03-10,-0.013864805,0.0079352984,0.0038565344,21,100
Market-Adjusted Model,10463,2023-03-10,-0.082901539,-0.063748727,-0.0651802,21,100
Market-Adjusted Model,10501,2023-03-10,-0.138163607,-0.117141068,-0.120442267,21,100
Market-Adjusted Model,10514,2023-03-10,-0.221643333,-0.193973041,-0.203921994,21,100
Market-Adjusted Model,10516,2023-03-10,-0.066301062,-0.048772828,-0.048579723,21,100
Market-Adjusted Model,10517,2023-03-10,-0.044129944,-0.021560177,-0.026408604,21,100
Market-Adjusted Model,10547,2023-03-10,-0.283608155,-0.301709038,-0.265886815,21,100
Market-Adjusted Model,10550,2023-03-10,0.1096605969,0.128683249,0.1273819365,21,100
Market-Adjusted Model,10606,2023-03-10,-0.07869385,-0.062922219,-0.060972511,21,100
Market-Adjusted Model,10629,2023-03-10,-0.179217033,-0.171916854,-0.161495693,21,100
Market-Adjusted Model,10645,2023-03-10,-0.0330033,-0.013716,-0.01528196,21,100
Market-Adjusted Model,10649,2023-03-10,-0.065066072,-0.047149512,-0.047344732,21,100
Market-Adjusted Model,10661,2023-03-10,-0.280000019,-0.304145047,-0.262278679,21,100
Market-Adjusted Model,10693,2023-03-10,-0.139783215,-0.130615699,-0.122061875,21,100
Market-Adjusted Model,10696,2023-03-10,-0.034494633,-0.012721727,-0.016773294,21,100
Market-Adjusted Model,10777,2023-03-10,-0.214806837,-0.209738372,-0.197085497,21,100
Market-Adjusted Model,10779,2023-03-10,-0.137724497,-0.120410591,-0.120003157,21,100
Market-Adjusted Model,10781,2023-03-10,0.0012344773,0.021054875,0.0189558169,21,100
Market-Adjusted Model,10812,2023-03-10,-0.085475162,-0.069998458,-0.067753822,21,100
Market-Adjusted Model,10860,2023-03-10,-0.078149888,-0.055520106,-0.060428548,21,100
Market-Adjusted Model,10866,2023-03-10,-0.183966186,-0.178282029,-0.166244846,21,100
Market-Adjusted Model,10874,2023-03-10,-0.123637289,-0.110835455,-0.10591595,21,100
Market-Adjusted Model,10886,2023-03-10,-0.153939134,-0.127105375,-0.136217794,21,100
Market-Adjusted Model,10890,2023-03-10,-0.396491198,-0.447967052,-0.378769858,21,100
Market-Adjusted Model,10892,2023-03-10,-0.235862295,-0.238427677,-0.218140955,21,100
Market-Adjusted Model,10901,2023-03-10,-0.082110962,-0.063146199,-0.064389622,21,100
Market-Adjusted Model,10932,2023-03-10,-0.276914451,-0.280686439,-0.259193112,21,100
Market-Adjusted Model,10933,2023-03-10,-0.090968853,-0.075502207,-0.073247513,21,100
Market-Adjusted Model,10966,2023-03-10,0.1130221221,0.1352309872,0.1307434617,21,100
Market-Adjusted Model,11006,2023-03-10,-0.184272917,-0.178777638,-0.166551578,21,100
Market-Adjusted Model,11018,2023-03-10,-0.216329408,-0.216360746,-0.198608069,21,100
Market-Adjusted Model,11043,2023-03-10,-0.066907833,-0.043764981,-0.049186493,21,100
Market-Adjusted Model,11144,2023-03-10,0.0965380341,0.1127691608,0.1142593737,21,100
Market-Adjusted Model,11153,2023-03-10,-0.042184331,-0.022108489,-0.024462991,21,100
Market-Adjusted Model,11154,2023-03-10,-0.075183715,-0.058880781,-0.057462375,21,100
Market-Adjusted Model,11174,2023-03-10,-0.086117958,-0.06180547,-0.068396618,21,100
Market-Adjusted Model,11203,2023-03-10,-0.008547008,0.0079437663,0.0091743315,21,100
Market-Adjusted Model,11208,2023-03-10,-0.135876825,-0.123174459,-0.118155486,21,100
Market-Adjusted Model,11264,2023-03-10,-0.307649486,-0.332557313,-0.289928147,21,100
Market-Adjusted Model,11267,2023-03-10,-0.039087965,-0.020293685,-0.021366625,21,100
Market-Adjusted Model,11275,2023-03-10,0.0024937056,0.0298036139,0.0202150452,21,100
Market-Adjusted Model,11285,2023-03-10,-0.084983689,-0.065394097,-0.067262349,21,100
Market-Adjusted Model,11292,2023-03-10,-0.221182847,-0.223541647,-0.203461507,21,100
Market-Adjusted Model,11293,2023-03-10,-0.14446276,-0.132909763,-0.12674142,21,100
Market-Adjusted Model,11308,2023-03-10,0.0212111571,0.0381670748,0.0389324967,21,100
Market-Adjusted Model,11368,2023-03-10,-0.056722626,-0.031739282,-0.039001286,21,100
Market-Adjusted Model,11369,2023-03-10,-0.097386067,-0.078490302,-0.079664727,21,100
Market-Adjusted Model,11370,2023-03-10,-0.144649102,-0.134781605,-0.126927763,21,100
Market-Adjusted Model,11379,2023-03-10,-0.154228902,-0.133489863,-0.136507562,21,100
Market-Adjusted Model,11394,2023-03-10,0.2623363946,0.6713067363,0.2800577342,21,100
Market-Adjusted Model,11397,2023-03-10,-0.16651268,-0.156572394,-0.148791341,21,100
Market-Adjusted Model,11403,2023-03-10,0.0399755907,0.0577553225,0.0576969304,21,100
Market-Adjusted Model,11404,2023-03-10,0.038108731,0.0566774672,0.0558300706,21,100
Market-Adjusted Model,11407,2023-03-10,-0.057272191,-0.039806739,-0.039550851,21,100
Market-Adjusted Model,11442,2023-03-10,-0.056523519,-0.037605189,-0.038802179,21,100
Market-Adjusted Model,11481,2023-03-10,-0.276966267,-0.288143582,-0.259244928,21,100
Market-Adjusted Model,11499,2023-03-10,-0.066442945,-0.040428215,-0.048721606,21,100
Market-Adjusted Model,11511,2023-03-10,-0.103333314,-0.088346779,-0.085611975,21,100
Market-Adjusted Model,11533,2023-03-10,0.0286897145,0.0490155425,0.0464110541,21,100
Market-Adjusted Model,11547,2023-03-10,0.0101665765,0.0320417567,0.0278879161,21,100
Market-Adjusted Model,11565,2023-03-10,-0.291395058,-0.309675454,-0.273673719,21,100
Market-Adjusted Model,11581,2023-03-10,-0.019813102,0.0027038092,-0.002091763,21,100
Market-Adjusted Model,11587,2023-03-10,-0.029696994,0.0019926862,-0.011975655,21,100
Market-Adjusted Model,11593,2023-03-10,-0.147838204,-0.140931922,-0.130116865,21,100
Market-Adjusted Model,11600,2023-03-10,0.0576376703,0.0806358287,0.0753590099,21,100
Market-Adjusted Model,11618,2023-03-10,0.017509684,0.0355284157,0.0352310236,21,100
Market-Adjusted Model,11628,2023-03-10,-0.211132118,-0.211186444,-0.193410778,21,100
Market-Adjusted Model,11636,2023-03-10,-0.261627905,-0.249729239,-0.243906566,21,100
Market-Adjusted Model,11644,2023-03-10,-0.11272539,-0.085780738,-0.095004051,21,100
Market-Adjusted Model,11654,2023-03-10,-0.045833385,-0.024661737,-0.028112046,21,100
Market-Adjusted Model,11664,2023-03-10,-0.093925761,-0.070370683,-0.076204421,21,100
Market-Adjusted Model,11674,2023-03-10,-0.041133191,-0.022411166,-0.023411851,21,100
Market-Adjusted Model,11691,2023-03-10,-0.115470653,-0.100245078,-0.097749313,21,100
Market-Adjusted Model,11701,2023-03-10,-0.037680177,-0.020236147,-0.019958837,21,100
Market-Adjusted Model,11731,2023-03-10,-0.163254662,-0.157936387,-0.145533322,21,100
Market-Adjusted Model,11748,2023-03-10,-0.024406322,0.0005330254,-0.006684983,21,100
Market-Adjusted Model,11752,2023-03-10,-0.222097715,-0.227873914,-0.204376376,21,100
Market-Adjusted Model,11762,2023-03-10,-0.048312163,-0.027986383,-0.030590824,21,100
Market-Adjusted Model,11775,2023-03-10,-0.06767035,-0.051190961,-0.049949011,21,100
Market-Adjusted Model,11786,2023-03-10,-0.863776348,-1.264310451,-0.822016354,11,100
Market-Adjusted Model,11790,2023-03-10,-0.087319638,-0.073582218,-0.069598298,21,100
Market-Adjusted Model,11803,2023-03-10,-0.019354875,0.0014322468,-0.001633536,21,100
Market-Adjusted Model,11809,2023-03-10,-0.01775543,0.0025218398,-0.00003409,21,100
Market-Adjusted Model,11844,2023-03-10,-0.091960901,-0.076549777,-0.074239561,21,100
Market-Adjusted Model,11845,2023-03-10,-0.111041022,-0.097442591,-0.093319682,21,100
Market-Adjusted Model,11850,2023-03-10,-0.065107455,-0.047170634,-0.047386115,21,100
Market-Adjusted Model,11884,2023-03-10,0.1662575103,0.1776422595,0.1839788499,21,100
Market-Adjusted Model,11891,2023-03-10,-0.04727696,-0.027911173,-0.029555621,21,100
Market-Adjusted Model,11955,2023-03-10,0.0278040616,0.0451066682,0.0455254012,21,100
Market-Adjusted Model,11990,2023-03-10,-0.104651205,-0.086849928,-0.086929865,21,100
Market-Adjusted Model,11995,2023-03-10,-0.079908904,-0.064062059,-0.062187565,21,100
Market-Adjusted Model,11996,2023-03-10,0.0159131135,0.0326675993,0.0336344531,21,100
Market-Adjusted Model,12008,2023-03-10,0.1276115846,0.1514245772,0.1453329242,21,100
Market-Adjusted Model,12009,2023-03-10,-0.134020644,-0.112358265,-0.116299304,21,100
Market-Adjusted Model,12015,2023-03-10,-0.132386091,-0.121735787,-0.114664751,21,100
Market-Adjusted Model,12017,2023-03-10,-0.144385016,-0.124167927,-0.126663676,21,100
Market-Adjusted Model,12034,2023-03-10,0.1024910722,0.1159234255,0.1202124118,21,100
Market-Adjusted Model,12035,2023-03-10,-0.07237182,-0.056971054,-0.054650481,21,100
Market-Adjusted Model,12036,2023-03-10,-0.026616185,-0.006948913,-0.008894846,21,100
Market-Adjusted Model,12039,2023-03-10,0.0174904186,0.0342397457,0.0352117582,21,100
Market-Adjusted Model,12049,2023-03-10,0.0853190991,0.1102650615,0.1030404387,21,100
Market-Adjusted Model,12052,2023-03-10,-0.034014761,-0.016959621,-0.016293421,21,100
Market-Adjusted Model,12054,2023-03-10,-0.046904864,-0.030692439,-0.029183525,21,100
Market-Adjusted Model,12059,2023-03-10,0.0352053051,0.0515784542,0.0529266447,21,100
Market-Adjusted Model,12060,2023-03-10,0.1026520453,0.1180718017,0.1203733849,21,100
Market-Adjusted Model,12062,2023-03-10,-0.108530598,-0.096169634,-0.090809258,21,100
Market-Adjusted Model,12064,2023-03-10,0.0196354391,0.0360676283,0.0373567787,21,100
Market-Adjusted Model,12065,2023-03-10,0.0249280776,0.0415657669,0.0426494172,21,100
Market-Adjusted Model,12066,2023-03-10,-0.021528833,-0.004524556,-0.003807494,21,100
Market-Adjusted Model,12068,2023-03-10,-0.183128521,-0.17769293,-0.165407182,21,100
Market-Adjusted Model,12070,2023-03-10,-0.105843786,-0.089653818,-0.088122446,21,100
Market-Adjusted Model,12075,2023-03-10,0.0123550219,0.0292127458,0.0300763615,21,100
Market-Adjusted Model,12076,2023-03-10,-0.024239202,0.0013186065,-0.006517863,21,100
Market-Adjusted Model,12078,2023-03-10,-0.227407385,-0.232974981,-0.209686046,21,100
Market-Adjusted Model,12082,2023-03-10,-0.083745748,-0.06888291,-0.066024408,21,100
Market-Adjusted Model,12084,2023-03-10,-0.019000355,0.0012810965,-0.001279015,21,100
Market-Adjusted Model,12098,2023-03-10,-0.010439294,0.007868064,0.0072820461,21,100
Market-Adjusted Model,12103,2023-03-10,-0.036446463,-0.019140332,-0.018725124,21,100
Market-Adjusted Model,12105,2023-03-10,-0.031927715,-0.014265169,-0.014206375,21,100
Market-Adjusted Model,12109,2023-03-10,-0.068239214,-0.050008407,-0.050517874,21,100
Market-Adjusted Model,12146,2023-03-10,-0.061003237,-0.041971638,-0.043281897,21,100
Market-Adjusted Model,12166,2023-03-10,-0.419512143,-0.462258728,-0.401790804,21,100
Market-Adjusted Model,12189,2023-03-10,-0.195534178,-0.194564316,-0.177812839,21,100
Market-Adjusted Model,12209,2023-03-10,0.0708660923,0.0872912796,0.088587432,21,100
Market-Adjusted Model,12211,2023-03-10,0.0001358303,0.0222225587,0.0178571699,21,100
Market-Adjusted Model,12219,2023-03-10,-0.092162157,-0.077783315,-0.074440818,21,100
Market-Adjusted Model,12226,2023-03-10,-0.110222565,-0.096473432,-0.092501225,21,100
Market-Adjusted Model,12266,2023-03-10,0.0632987751,0.1405403804,0.0810201147,21,100
Market-Adjusted Model,12287,2023-03-10,0.0036981685,0.0213398668,0.0214195082,21,100
Market-Adjusted Model,12289,2023-03-10,0.0259453441,0.0423233779,0.0436666837,21,100
Market-Adjusted Model,12292,2023-03-10,-0.060259729,-0.042967204,-0.04253839,21,100
Market-Adjusted Model,12294,2023-03-10,0.0149835167,0.0326136474,0.0327048564,21,100
Market-Adjusted Model,12295,2023-03-10,-0.034388305,-0.017006344,-0.016666966,21,100
Market-Adjusted Model,12296,2023-03-10,-0.109624111,-0.096413234,-0.091902771,21,100
Market-Adjusted Model,12297,2023-03-10,-0.072565996,-0.056126724,-0.054844656,21,100
Market-Adjusted Model,12301,2023-03-10,-0.091420116,-0.076568684,-0.073698776,21,100
Market-Adjusted Model,12302,2023-03-10,-0.102599819,-0.088847972,-0.084878479,21,100
Market-Adjusted Model,12303,2023-03-10,-0.059025183,-0.042152112,-0.041303844,21,100
Market-Adjusted Model,12304,2023-03-10,-0.078996831,-0.063208604,-0.061275491,21,100
Market-Adjusted Model,12305,2023-03-10,-0.008481453,0.0092390163,0.0092398868,21,100
Market-Adjusted Model,12307,2023-03-10,-5.268283E-9,0.0441910892,0.0177213343,21,100
Market-Adjusted Model,12308,2023-03-10,-0.102497191,-0.088158643,-0.084775851,21,100
Market-Adjusted Model,12310,2023-03-10,0.1737088589,0.2039274487,0.1914301986,21,100
Market-Adjusted Model,12313,2023-03-10,-0.014817071,0.0029213541,0.0029042685,21,100
Market-Adjusted Model,12314,2023-03-10,0.0227817086,0.0405159326,0.0405030482,21,100
Market-Adjusted Model,12315,2023-03-10,-0.052473646,-0.035922096,-0.034752306,21,100
Market-Adjusted Model,12316,2023-03-10,-0.019513287,-0.001717737,-0.001791947,21,100
Market-Adjusted Model,12317,2023-03-10,-0.067660187,-0.05100264,-0.049938848,21,100
Market-Adjusted Model,12318,2023-03-10,-0.089140096,-0.074090022,-0.071418756,21,100
Market-Adjusted Model,12321,2023-03-10,-0.109492866,-0.09634228,-0.091771526,21,100
Market-Adjusted Model,12325,2023-03-10,0.0911245922,0.1176252866,0.1088459318,21,100
Market-Adjusted Model,12326,2023-03-10,0.0744352234,0.0906371336,0.092156563,21,100
Market-Adjusted Model,12329,2023-03-10,-0.121026785,-0.10670975,-0.103305446,21,100
Market-Adjusted Model,12331,2023-03-10,-0.018133017,-0.001254149,-0.000411677,21,100
Market-Adjusted Model,12332,2023-03-10,0.0034748747,0.0338309406,0.0211962143,21,100
Market-Adjusted Model,12333,2023-03-10,-0.117564279,-0.103823872,-0.099842939,21,100
Market-Adjusted Model,12334,2023-03-10,-0.034688707,-0.017105062,-0.016967367,21,100
Market-Adjusted Model,12338,2023-03-10,0.0858310086,0.1040421508,0.1035523482,21,100
Market-Adjusted Model,12339,2023-03-10,-0.169655176,-0.147788707,-0.151933836,21,100
Market-Adjusted Model,12341,2023-03-10,-0.032249017,-0.014931546,-0.014527677,21,100
Market-Adjusted Model,12345,2023-03-10,-0.074174099,-0.057012536,-0.056452759,21,100
Market-Adjusted Model,12350,2023-03-10,-0.552490733,-0.739255349,-0.534769393,21,100
Market-Adjusted Model,12355,2023-03-10,-0.070547263,-0.046899416,-0.052825924,21,100
Market-Adjusted Model,12358,2023-03-10,-0.605839403,-0.867196531,-0.588118063,21,100
Market-Adjusted Model,12360,2023-03-10,0.0344456056,0.0709144317,0.0521669452,21,100
Market-Adjusted Model,12363,2023-03-10,0.0429337695,0.0670083969,0.0606551091,21,100
Market-Adjusted Model,12366,2023-03-10,-0.052439522,-0.035677965,-0.034718182,21,100
Market-Adjusted Model,12367,2023-03-10,-0.137376172,-0.105951644,-0.119654833,21,100
Market-Adjusted Model,12368,2023-03-10,-0.136372824,-0.126997895,-0.118651484,21,100
Market-Adjusted Model,12369,2023-03-10,-0.139191123,-0.127226965,-0.121469784,21,100
Market-Adjusted Model,12370,2023-03-10,0.1181118274,0.1351187709,0.135833167,21,100
Market-Adjusted Model,12372,2023-03-10,-0.120169619,-0.108396162,-0.10244828,21,100
Market-Adjusted Model,12373,2023-03-10,-0.103517269,-0.0858418,-0.08579593,21,100
Market-Adjusted Model,12376,2023-03-10,-0.108753334,-0.094587034,-0.091031994,21,100
Market-Adjusted Model,12377,2023-03-10,-0.097978294,-0.080366639,-0.080256955,21,100
Market-Adjusted Model,12380,2023-03-10,0.0146340934,0.0348054174,0.032355433,21,100
Market-Adjusted Model,12385,2023-03-10,-0.104308348,-0.088023416,-0.086587008,21,100
Market-Adjusted Model,12391,2023-03-10,-0.098922646,-0.084178314,-0.081201307,21,100
Market-Adjusted Model,12397,2023-03-10,-0.043103405,-0.01858312,-0.025382065,21,100
Market-Adjusted Model,12400,2023-03-10,-0.208381357,-0.19861574,-0.190660017,21,100
Market-Adjusted Model,12411,2023-03-10,0.0948905048,0.1131169701,0.1126118444,21,100
Market-Adjusted Model,12412,2023-03-10,-0.055858626,-0.040133899,-0.038137286,21,100
Market-Adjusted Model,12431,2023-03-10,0.0061080072,0.0262178392,0.0238293468,21,100
Market-Adjusted Model,12437,2023-03-10,0.0082796831,0.0182885536,0.0181567548,3,100
Market-Adjusted Model,12442,2023-03-10,-0.271629386,-0.273080338,-0.253908046,21,100
Market-Adjusted Model,12443,2023-03-10,0.3096895401,0.3119526759,0.3274108797,21,100
Market-Adjusted Model,12447,2023-03-10,-0.035902105,0.0335037465,-0.018180765,21,100
Market-Adjusted Model,12448,2023-03-10,-0.899691615,-1.558621531,-0.881970275,21,100
Market-Adjusted Model,12449,2023-03-10,-0.040790948,-0.017493135,-0.023069609,21,100
Market-Adjusted Model,12452,2023-03-10,-0.161392377,-0.136949586,-0.143671037,21,100
Market-Adjusted Model,12453,2023-03-10,0.0171528162,0.0335991376,0.0348741558,21,100
Market-Adjusted Model,12457,2023-03-10,-0.103687395,-0.088032848,-0.085966056,21,100
Market-Adjusted Model,12461,2023-03-10,-0.129410474,-0.117650593,-0.111689134,21,100
Market-Adjusted Model,12462,2023-03-10,-0.181341291,-0.17865255,-0.163619952,21,100
Market-Adjusted Model,12472,2023-03-10,-0.155513737,-0.146700559,-0.137792397,21,100
Market-Adjusted Model,12473,2023-03-10,-0.046965025,-0.025877905,-0.029243685,21,100
Market-Adjusted Model,12476,2023-03-10,-0.117039415,-0.102500385,-0.099318076,21,100
Market-Adjusted Model,12477,2023-03-10,-0.179227317,-0.175462232,-0.161505978,21,100
Market-Adjusted Model,12480,2023-03-10,-0.149705164,-0.140097992,-0.131983824,21,100
Market-Adjusted Model,12487,2023-03-10,-0.097282559,-0.058743676,-0.079561219,21,100
Market-Adjusted Model,12488,2023-03-10,-0.067107341,-0.050420387,-0.049386002,21,100
Market-Adjusted Model,12490,2023-03-10,-0.04205209,-0.025421927,-0.02433075,21,100
Market-Adjusted Model,12495,2023-03-10,-0.071260311,-0.037212945,-0.053538972,21,100
Market-Adjusted Model,12497,2023-03-10,-0.272727274,-0.284018988,-0.255005934,21,100
Market-Adjusted Model,12500,2023-03-10,-0.694189731,-0.824399589,-0.676468392,21,100
Market-Adjusted Model,12502,2023-03-10,-0.219922109,-0.205274321,-0.202200769,21,100
Market-Adjusted Model,12505,2023-03-10,-0.075777354,-0.057499308,-0.058056015,21,100
Market-Adjusted Model,12508,2023-03-10,-0.01902553,-0.001416686,-0.00130419,21,100
Market-Adjusted Model,12510,2023-03-10,0.1291202535,0.1408788969,0.1468415931,21,100
Market-Adjusted Model,12513,2023-03-10,-0.328142047,-0.368811059,-0.310420707,21,100
Market-Adjusted Model,12514,2023-03-10,-0.18123619,-0.178438496,-0.16351485,21,100
Market-Adjusted Model,12515,2023-03-10,-0.362294202,-0.39992861,-0.344572862,21,100
Market-Adjusted Model,12516,2023-03-10,-0.041067445,-0.02385945,-0.023346106,21,100
Market-Adjusted Model,12523,2023-03-10,0.0001829321,0.0176429474,0.0179042717,21,100
Market-Adjusted Model,12527,2023-03-10,0.8421052235,0.7333888889,0.8598265631,21,100
Market-Adjusted Model,12528,2023-03-10,-0.035897475,-0.015514878,-0.018176136,21,100
Market-Adjusted Model,12530,2023-03-10,0.0702495182,0.0943237427,0.0879708578,21,100
Market-Adjusted Model,12531,2023-03-10,0.0514705594,0.1019766803,0.069191899,21,100
Market-Adjusted Model,12533,2023-03-10,-0.061067947,-0.044600279,-0.043346607,21,100
Market-Adjusted Model,12534,2023-03-10,-0.025807806,-0.006960518,-0.008086466,21,100
Market-Adjusted Model,12535,2023-03-10,-0.081157404,-0.065704354,-0.063436065,21,100
Market-Adjusted Model,12536,2023-03-10,-0.084128989,-0.068345775,-0.066407649,21,100
Market-Adjusted Model,12537,2023-03-10,0.0154434174,0.0320738225,0.033164757,21,100
Market-Adjusted Model,12540,2023-03-10,-0.066666692,-0.048630049,-0.048945352,21,100
Market-Adjusted Model,12543,2023-03-10,-0.0578181,-0.041818582,-0.040096761,21,100
Market-Adjusted Model,12552,2023-03-10,-0.002500363,0.0145435181,0.015220977,21,100
Market-Adjusted Model,12558,2023-03-10,-0.039473606,-0.021903058,-0.021752267,21,100
Market-Adjusted Model,12564,2023-03-10,0.0118123289,0.0288592147,0.0295336685,21,100
Market-Adjusted Model,12565,2023-03-10,0.0170082266,0.033852605,0.0347295662,21,100
Market-Adjusted Model,12566,2023-03-10,-0.196029826,-0.188723807,-0.178308486,21,100
Market-Adjusted Model,12569,2023-03-10,0.1493506742,0.1667788497,0.1670720138,21,100
Market-Adjusted Model,12570,2023-03-10,-0.105576856,-0.088645267,-0.087855516,21,100
Market-Adjusted Model,12573,2023-03-10,-0.513888917,-0.62307847,-0.496167578,21,100
Market-Adjusted Model,12577,2023-03-10,0.0670102418,0.1150288747,0.0847315814,21,100
Market-Adjusted Model,12578,2023-03-10,0.0216230729,0.0389612292,0.0393444125,21,100
Market-Adjusted Model,12579,2023-03-10,-0.172043028,-0.148902579,-0.154321688,21,100
Market-Adjusted Model,12583,2023-03-10,-0.062514985,-0.041867203,-0.044793646,21,100
Market-Adjusted Model,12591,2023-03-10,-0.191967395,-0.183550171,-0.174246056,21,100
Market-Adjusted Model,12592,2023-03-10,-0.1255861,-0.048517187,-0.10786476,21,100
Market-Adjusted Model,12593,2023-03-10,-0.077189397,-0.061230811,-0.059468058,21,100
Market-Adjusted Model,12615,2023-03-10,-0.168448981,-0.158548914,-0.150727641,21,100
Market-Adjusted Model,12621,2023-03-10,-0.074927677,-0.05707376,-0.057206338,21,100
Market-Adjusted Model,12622,2023-03-10,0.011269261,0.0303967657,0.0289906006,21,100
Market-Adjusted Model,12623,2023-03-10,-0.079517735,-0.064304813,-0.061796395,21,100
Market-Adjusted Model,12625,2023-03-10,-0.024291447,-0.007151968,-0.006570107,21,100
Market-Adjusted Model,12628,2023-03-10,-0.006718201,0.0128653905,0.0110031387,21,100
Market-Adjusted Model,12629,2023-03-10,-0.097125917,-0.080195148,-0.079404577,21,100
Market-Adjusted Model,12631,2023-03-10,-0.015925804,0.0007200508,0.0017955356,21,100
Market-Adjusted Model,12633,2023-03-10,0.0107358766,0.0274758051,0.0284572162,21,100
Market-Adjusted Model,12641,2023-03-10,-0.147243429,-0.138544095,-0.129522089,21,100
Market-Adjusted Model,12644,2023-03-10,-0.08287683,-0.058698045,-0.06515549,21,100
Market-Adjusted Model,12646,2023-03-10,-0.010773622,0.0093408744,0.006947718,21,100
Market-Adjusted Model,12647,2023-03-10,-0.06288635,-0.045463114,-0.045165011,21,100
Market-Adjusted Model,12648,2023-03-10,-0.075037001,-0.058792911,-0.057315661,21,100
Market-Adjusted Model,12649,2023-03-10,-0.09661407,-0.080710886,-0.07889273,21,100
Market-Adjusted Model,12651,2023-03-10,-0.004523308,0.0145290248,0.0131980312,21,100
Market-Adjusted Model,12652,2023-03-10,-0.013929572,0.0040991379,0.0037917672,21,100
Market-Adjusted Model,12654,2023-03-10,-0.041290955,-0.024071952,-0.023569615,21,100
Market-Adjusted Model,12655,2023-03-10,-0.025441458,-0.008038345,-0.007720118,21,100
Market-Adjusted Model,12656,2023-03-10,-0.065103604,-0.04860718,-0.047382264,21,100
Market-Adjusted Model,12657,2023-03-10,-0.112043024,-0.099232445,-0.094321685,21,100
Market-Adjusted Model,12658,2023-03-10,-0.073083097,-0.056908215,-0.055361757,21,100
Market-Adjusted Model,12659,2023-03-10,-0.123659738,-0.11212606,-0.105938398,21,100
Market-Adjusted Model,12662,2023-03-10,-0.020522412,-0.00323203,-0.002801072,21,100
Market-Adjusted Model,12666,2023-03-10,-0.012247553,0.0045801695,0.0054737863,21,100
Market-Adjusted Model,12672,2023-03-10,-0.037502668,-0.020939331,-0.019781329,21,100
Market-Adjusted Model,12673,2023-03-10,-0.021925264,-0.004352173,-0.004203924,21,100
Market-Adjusted Model,12675,2023-03-10,0.0251844099,0.0416044691,0.0429057495,21,100
Market-Adjusted Model,12676,2023-03-10,0.0051759735,0.021740835,0.0228973131,21,100
Market-Adjusted Model,12680,2023-03-10,-0.168627481,-0.162046867,-0.150906142,21,100
Market-Adjusted Model,12681,2023-03-10,-0.046257457,-0.027436499,-0.028536117,21,100
Market-Adjusted Model,12684,2023-03-10,-0.134502956,-0.124106847,-0.116781617,21,100
Market-Adjusted Model,12690,2023-03-10,-0.067885119,-0.029993608,-0.050163779,21,100
Market-Adjusted Model,12693,2023-03-10,-0.03728119,-0.017040855,-0.019559851,21,100
Market-Adjusted Model,12697,2023-03-10,-0.076281332,-0.050215771,-0.058559992,21,100
Market-Adjusted Model,12699,2023-03-10,-0.240430606,-0.213463299,-0.222709267,21,100
Market-Adjusted Model,12717,2023-03-10,-0.110512282,-0.097872157,-0.092790942,21,100
