Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15584,2023-03-10,-0.372564919,-0.425542509,-0.354843579,21,100
Market-Adjusted Model,15585,2023-03-10,-0.086401778,-0.064568136,-0.068680438,21,100
Market-Adjusted Model,15590,2023-03-10,-0.328039089,-0.25151923,-0.31031775,21,100
Market-Adjusted Model,15593,2023-03-10,0.024953351,0.0414196894,0.0426746906,21,100
Market-Adjusted Model,15597,2023-03-10,-0.18454292,-0.17939763,-0.16682158,21,100
Market-Adjusted Model,15605,2023-03-10,-0.016558657,0.0005024274,0.0011626823,21,100
Market-Adjusted Model,15610,2023-03-10,-0.013534396,0.0041126545,0.0041869433,21,100
Market-Adjusted Model,15613,2023-03-10,-0.697401801,-0.978312571,-0.679680462,21,100
Market-Adjusted Model,15615,2023-03-10,0.0173940107,0.0463096427,0.0351153503,21,100
Market-Adjusted Model,15618,2023-03-10,0.0058154515,0.0223360657,0.0235367911,21,100
Market-Adjusted Model,15623,2023-03-10,-0.052279837,-0.033282893,-0.034558497,21,100
Market-Adjusted Model,15626,2023-03-10,-0.048640921,-0.031153012,-0.030919581,21,100
Market-Adjusted Model,15627,2023-03-10,-0.105895058,-0.092432223,-0.088173719,21,100
Market-Adjusted Model,15629,2023-03-10,0.0203930272,0.0367429951,0.0381143668,21,100
Market-Adjusted Model,15631,2023-03-10,-0.185730932,-0.105125457,-0.168009593,21,100
Market-Adjusted Model,15634,2023-03-10,-0.047476275,-0.030514878,-0.029754936,21,100
Market-Adjusted Model,15635,2023-03-10,-0.02099691,-0.0034573,-0.00327557,21,100
Market-Adjusted Model,15636,2023-03-10,-0.101644127,-0.067117388,-0.083922788,21,100
Market-Adjusted Model,15639,2023-03-10,-0.393665152,-0.433812094,-0.375943812,21,100
Market-Adjusted Model,15642,2023-03-10,0.1046511344,0.1310873777,0.122372474,21,100
Market-Adjusted Model,15643,2023-03-10,-0.23853986,-0.22563737,-0.22081852,21,100
Market-Adjusted Model,15645,2023-03-10,-0.313685201,-0.321579217,-0.295963861,21,100
Market-Adjusted Model,15646,2023-03-10,-0.137875749,-0.101817921,-0.120154409,21,100
Market-Adjusted Model,15649,2023-03-10,-0.021048816,-0.00382923,-0.003327476,21,100
Market-Adjusted Model,15650,2023-03-10,-0.07080162,-0.054955114,-0.053080281,21,100
Market-Adjusted Model,15651,2023-03-10,-0.041983133,-0.023150794,-0.024261793,21,100
Market-Adjusted Model,15653,2023-03-10,-0.042923422,-0.019426557,-0.025202083,21,100
Market-Adjusted Model,15654,2023-03-10,-0.168213433,-0.157341185,-0.150492094,21,100
Market-Adjusted Model,15655,2023-03-10,0.0300707769,0.0467243717,0.0477921165,21,100
Market-Adjusted Model,15656,2023-03-10,0.0479042219,0.0769108574,0.0656255616,21,100
Market-Adjusted Model,15657,2023-03-10,-0.018692753,-0.000986863,-0.000971414,21,100
Market-Adjusted Model,15658,2023-03-10,-0.087096832,-0.060514669,-0.069375492,21,100
Market-Adjusted Model,15662,2023-03-10,-0.202127656,-0.193772978,-0.184406316,21,100
